control	depth	Sequence_Identity	Algorithm	False_Point	True_Point	Spiked_Number	FDR	Precision	Recall	F1	Sensitivity	minimum_read_support
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	558
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	558
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	557
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	557
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	557
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	556
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	556
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	556
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	555
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	555
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	555
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	554
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	554
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	554
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	553
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	553
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	553
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	552
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	552
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	552
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	551
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	551
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	551
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	550
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	550
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	550
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	549
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	549
positive	100GB	95%	FusionSeeker	1	0	400	1	0	0	NA	0	549
positive	100GB	85%	FusionSeeker	1	0	400	1	0	0	NA	0	548
positive	100GB	90%	FusionSeeker	1	0	400	1	0	0	NA	0	548
