control	depth	Sequence_Identity	Algorithm	fusionType	fusion_type_count	recall_category
negative	10GB	85%	Genion	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	10GB	85%	Genion	false_fusion	7	False_Call
negative	10GB	85%	Genion	false_fusion:mitochondrial	0	False_Call
negative	10GB	85%	Genion	false_fusion:mitochondrial_genomic	0	False_Call
negative	10GB	85%	Genion	false_fusion:self_misalignment	0	False_Call
negative	10GB	85%	Genion	false_fusion:Sense-Antisense	0	False_Call
negative	10GB	85%	Genion	hybrid	0	True_Recall
negative	10GB	85%	Genion	intra_chromosome	0	True_Recall
negative	10GB	85%	Genion	read_through	0	True_Recall
negative	10GB	85%	Genion	reverse_order:hybrid	0	Partial_Recall
negative	10GB	85%	Genion	reverse_order:intra_chromosome	0	Partial_Recall
negative	10GB	85%	Genion	reverse_order:read_through	0	Partial_Recall
negative	10GB	85%	Genion	reverse_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	Genion	reverse_order:truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	Genion	tri_fusion	0	True_Recall
negative	10GB	85%	Genion	truncated_tri_fusion	0	Partial_Recall
negative	10GB	85%	Genion	wrong_order:tri_fusion	0	Partial_Recall
negative	10GB	85%	GFSeeker	chromosomal_misalignment:intra_chromosome	0	Partial_Recall
negative	10GB	85%	GFSeeker	false_fusion	12	False_Call
negative	10GB	85%	GFSeeker	false_fusion:mitochondrial	0	False_Call
negative	10GB	85%	GFSeeker	false_fusion:mitochondrial_genomic	0	False_Call
negative	10GB	85%	GFSeeker	false_fusion:self_misalignment	0	False_Call
negative	10GB	85%	GFSeeker	false_fusion:Sense-Antisense	0	False_Call
negative	10GB	85%	GFSeeker	hybrid	0	True_Recall
negative	10GB	85%	GFSeeker	intra_chromosome	0	True_Recall
negative	10GB	85%	GFSeeker	read_through	0	True_Recall
